matches_won,country_id,winner_id
5,AUS,221356
5,AUS,200466
5,AUS,209262
5,AUS,220353
4,AUS,132137
4,AUS,221761
4,AUS,221125
4,AUS,125804
4,AUS,201410
4,AUS,206361
3,AUS,221027
3,AUS,214708
3,AUS,216397
3,AUS,201457
3,AUS,223076
3,AUS,204298
3,AUS,205884
3,AUS,222696
3,AUS,221859
3,AUS,221026
3,AUS,103782
3,AUS,126498
3,AUS,207854
3,AUS,126575
3,AUS,124050
3,AUS,124045
3,AUS,126574
3,AUS,200663
2,AUS,216259
2,AUS,221883
2,AUS,202322
2,AUS,221881
2,AUS,223204
2,AUS,201607
2,AUS,132124
2,AUS,202354
2,AUS,215889
2,AUS,221045
2,AUS,221392
2,AUS,221300
2,AUS,200660
2,AUS,117352
2,AUS,221762
2,AUS,221858
2,AUS,200640
2,AUS,220052
1,AUS,221860
1,AUS,221865
1,AUS,221857
1,AUS,202257
1,AUS,221872
1,AUS,207728
1,AUS,200029
1,AUS,223195
1,AUS,214110
1,AUS,220905
1,AUS,223193
1,AUS,221866
1,AUS,223192
1,AUS,221894
1,AUS,221889
1,AUS,221884
1,AUS,221882
1,AUS,206734
1,AUS,221874
1,AUS,223160
1,AUS,206190
1,AUS,238076
1,AUS,105210
1,AUS,216025
1,AUS,200512
1,AUS,216157
1,AUS,220801
1,AUS,223084
1,AUS,205792
1,AUS,200614
1,AUS,134333
1,AUS,219740
1,AUS,211924
1,AUS,134318
1,AUS,239397
1,AUS,215957
1,AUS,221861
1,AUS,132121
1,AUS,208014
1,AUS,136461
1,AUS,105264
1,AUS,223024
182,AUT,106233
180,AUT,211814
176,AUT,202482
124,AUT,124116
120,AUT,110602
111,AUT,105589
111,AUT,201659
106,AUT,200514
94,AUT,111192
77,AUT,214818
54,AUT,201481
54,AUT,204390
48,AUT,105814
44,AUT,211330
42,AUT,103781
41,AUT,221257
33,AUT,126634
32,AUT,105426
27,AUT,104890
27,AUT,204352
26,AUT,211283
22,AUT,211408
18,AUT,204388
18,AUT,202451
15,AUT,126536
15,AUT,126623
13,AUT,215420
12,AUT,210223
11,AUT,105557
11,AUT,220591
10,AUT,219770
8,AUT,222558
8,AUT,203965
7,AUT,221345
4,AUT,105542
4,AUT,215507
3,AUT,105864
3,AUT,106060
3,AUT,105353
2,AUT,221340
2,AUT,222538
2,AUT,209903
2,AUT,214718
2,AUT,221013
2,AUT,104667
2,AUT,214022
2,AUT,222541
1,AUT,244074
1,AUT,207491
1,AUT,221404
1,AUT,239427
1,AUT,214752
1,AUT,216144
1,AUT,216168
1,AUT,240996
1,AUT,221282
1,AUT,216098
13,BAH,210920
3,BAH,221838
2,BAH,214613
1,BAH,221818
1,BAH,216235
107,BAR,105985
1,BAR,104656
1,BAR,214637
1,BAR,221831
52,BDI,216367
3,BDI,122474
2,BDI,221493
174,BEL,210722
161,BEL,105676
158,BEL,106293
142,BEL,213889
141,BEL,211260
138,BEL,213853
134,BEL,105074
132,BEL,211556
128,BEL,202421
120,BEL,206251
116,BEL,105963
114,BEL,204434
112,BEL,213855
102,BEL,201465
99,BEL,104327
89,BEL,201518
84,BEL,106167
76,BEL,215039
65,BEL,211303
58,BEL,213888
57,BEL,202420
56,BEL,215328
50,BEL,205855
49,BEL,200267
47,BEL,210801
45,BEL,211321
41,BEL,105726
35,BEL,214945
33,BEL,201550
31,BEL,104963
30,BEL,206250
28,BEL,123785
25,BEL,216069
24,BEL,105325
23,BEL,221003
20,BEL,126107
18,BEL,220614
18,BEL,215368
18,BEL,221170
17,BEL,216036
17,BEL,122638
16,BEL,104944
13,BEL,111584
12,BEL,215246
10,BEL,210703
10,BEL,216174
10,BEL,203443
9,BEL,221256
9,BEL,216205
9,BEL,105593
8,BEL,104893
8,BEL,223321
8,BEL,214188
8,BEL,106333
8,BEL,215112
7,BEL,105695
7,BEL,228909
6,BEL,213890
6,BEL,126091
6,BEL,105096
5,BEL,214187
5,BEL,220025
5,BEL,228910
3,BEL,215423
2,BEL,216237
1,BEL,204392
1,BEL,206377
1,BEL,126115
1,BEL,221312
1,BEL,122222
1,BEL,222501
1,BEL,215329
1,BEL,215779
1,BEL,237461
1,BEL,215053
1,BEL,202247
166,BIH,106000
135,BIH,105806
113,BIH,211296
105,BIH,215131
82,BIH,203456
76,BIH,105060
52,BIH,105493
36,BIH,210271
21,BIH,213789
21,BIH,123983
16,BIH,110618
15,BIH,202619
3,BIH,221283
2,BIH,215904
2,BIH,215429
1,BIH,215252
1,BIH,216070
1,BIH,213717
191,BLR,125802
179,BLR,214544
148,BLR,106078
113,BLR,105590
113,BLR,216013
110,BLR,214304
104,BLR,205925
91,BLR,201501
90,BLR,215707
87,BLR,213576
83,BLR,216039
74,BLR,203441
63,BLR,201458
61,BLR,211426
51,BLR,203415
35,BLR,105029
32,BLR,216020
31,BLR,214959
27,BLR,105299
26,BLR,106138
20,BLR,220438
17,BLR,105781
14,BLR,221116
12,BLR,105012
12,BLR,219995
12,BLR,205944
11,BLR,219638
10,BLR,215145
10,BLR,220159
10,BLR,220808
8,BLR,220436
7,BLR,222184
6,BLR,221117
5,BLR,205920
5,BLR,214381
5,BLR,201412
4,BLR,221118
3,BLR,215164
3,BLR,220268
3,BLR,211118
3,BLR,214645
2,BLR,221434
2,BLR,222183
2,BLR,206188
2,BLR,144915
1,BLR,245099
1,BLR,202381
1,BLR,211822
1,BLR,220439
1,BLR,219998
124,BOL,106198
108,BOL,210138
24,BOL,105156
9,BOL,238065
4,BOL,215340
3,BOL,202900
3,BOL,215672
2,BOL,222462
2,BOL,106262
2,BOL,221842
2,BOL,221978
1,BOL,222459
1,BOL,222485
1,BOL,220849
